time,open,high,low,close
1574433000,311.09,311.24,309.85,310.96
1574692200,311.98,313.37,311.98,313.37
1574778600,313.41,314.28,313.06,314.08
1574865000,314.61,315.48,314.37,315.48
1575037800,314.86,315.13,314.06,314.31
1575297000,314.59,314.66,311.17,311.64
1575383400,308.65,309.64,307.13,309.55
1575469800,310.7,312.12,310.32,311.46
1575556200,312.23,312.25,310.58,312.02
1575642600,314.12,315.31,314.11,314.87
1575901800,314.44,315.18,313.8,313.88
1575988200,313.82,314.55,312.81,313.53
1576074600,314.03,314.7,313.4393,314.42
1576161000,314.43,317.99,314.17,317.13
1576247400,316.87,318.67,316.02,317.32
1576506600,319.22,320.15,319.17,319.5
1576593000,319.92,320.25,319.48,319.57
1576679400,320,320.25,319.53,319.59
1576765800,319.8,320.98,319.5246,320.9
1576852200,320.46,321.9742,319.3873,320.73
1577111400,321.59,321.65,321.06,321.22
1577197800,321.47,321.52,320.9,321.23
1577370600,321.65,322.95,321.64,322.94
1577457000,323.74,323.8,322.28,322.86
1577716200,322.95,323.1,320.55,321.08
1577802600,320.53,322.13,320.15,321.86
1577975400,323.54,324.89,322.53,324.87
1578061800,321.16,323.64,321.1,322.41
1578321000,320.49,323.73,320.36,323.64
1578407400,323.02,323.54,322.24,322.73
1578493800,322.94,325.78,322.67,324.45
1578580200,326.16,326.73,325.52,326.65
1578666600,327.2899,327.46,325.2,325.71
1578925800,326.39,327.96,325.92,327.95
1579012200,327.47,328.62,326.844,327.45
1579098600,327.35,329.02,327.26,328.19
1579185000,329.7,330.92,329.45,330.92
1579271400,331.7,332.18,330.8539,331.95
1579617000,330.9,332.18,330.82,331.3
1579703400,332.24,332.95,331.17,331.34
1579789800,330.63,332.1682,329.41,331.72
1579876200,332.44,332.53,327.36,328.77
1580135400,323.03,325.12,322.66,323.5
1580221800,325.06,327.85,323.6038,326.89
1580308200,328.38,328.63,326.4,326.62
1580394600,324.36,327.91,323.54,327.68
1580481000,327,327.17,320.73,321.73
1580740200,323.35,326.16,323.22,324.12
1580826600,328.07,330.01,327.72,329.06
1580913000,332.27,333.09,330.67,332.86
1580999400,333.91,334.19,332.8,333.98
1581085800,332.82,333.9941,331.6,332.2
1581345000,331.23,334.75,331.19,334.68
1581431400,336.16,337.02,334.684,335.26
1581517800,336.83,337.65,336.43,337.42
1581604200,335.8621,338.12,335.56,337.06
1581690600,337.51,337.73,336.2,337.6
1582036200,336.51,337.6677,335.21,336.73
1582122600,337.79,339.08,337.48,338.34
1582209000,337.7423,338.64,333.6817,336.95
1582295400,335.47,335.81,332.58,333.48
1582554600,323.14,325.85,321.24,322.42
1582641000,323.94,324.61,311.69,312.65
1582727400,314.18,318.11,310.7,311.5
1582813800,305.46,311.5637,297.51,297.51
1582900200,288.7,297.892,285.54,296.26
1583159400,298.21,309.16,294.46,309.09
1583245800,309.5,313.84,297.57,300.24
1583332200,306.12,313.1,303.33,312.86
1583418600,304.98,308.47,300.01,302.46
1583505000,293.15,298.78,290.23,297.46
1583760600,275.3,284.19,273.45,274.23
1583847000,284.64,288.52,273.5,288.42
1583933400,280.7,281.94,270.88,274.36
