time,open,high,low,close,Volume,Volume MA
1166625000,3.088211,3.095354,3.026426,3.027139,568324856,804730099
1166711400,3.02484,3.052854,2.935711,2.960711,910251340,816632350.8
1166797800,2.980712,3.001393,2.914283,2.935711,613390116,821354253.2
1167143400,2.933925,2.948926,2.888926,2.911068,490861992,792138284.8
1167229800,2.791068,2.928569,2.741783,2.911426,1935900876,837085430.4
1167316200,2.864997,2.901783,2.84464,2.888211,1120103712,835227684.6
1167402600,2.99839,3.049997,2.97714,3.029997,1076778484,845536735
1167834600,3.081782,3.09214,2.924997,2.992854,1238700628,867697749.2
1167921000,3.001783,3.06964,2.993569,3.059283,853214612,874865084.4
1168007400,3.063211,3.078568,3.014282,3.037497,835192448,883471710.6
1168266600,3.069997,3.090354,3.045711,3.052497,797239196,891416259.4
1168353000,3.087497,3.320711,3.041068,3.306068,3351323348,1008727640.6
1168439400,3.383211,3.492854,3.337497,3.464282,2954916424,1117243630.6
1168525800,3.427497,3.456425,3.396426,3.421425,1440986272,1164271895.2
1168612200,3.378211,3.394997,3.32964,3.379282,1312895776,1178190888.4
1168957800,3.417318,3.473211,3.408925,3.467854,1244547484,1197561330.2
1169044200,3.48464,3.485711,3.386426,3.391068,1674549960,1239642460.2
1169130600,3.289104,3.28964,3.180354,3.181069,2365892156,1320935613.4
1169217000,3.164997,3.201782,3.14714,3.160711,1364616980,1353061412
1169476200,3.183568,3.184283,3.058925,3.099639,1454156140,1380192140
1169562600,3.061783,3.125354,3.053925,3.060711,1208295288,1412190661.6
1169649000,3.095175,3.112497,3.074283,3.096425,928386848,1413097437
1169735400,3.111104,3.160711,3.072497,3.080354,906441096,1427749986
1169821800,3.109104,3.120354,3.035354,3.049283,986924824,1452553127.6
1170081000,3.08214,3.094639,3.05464,3.069283,902019332,1400859050.4
1170167400,3.086782,3.088926,3.04464,3.055354,578363648,1373772047.2
1170253800,3.030176,3.071426,3.012497,3.061783,856317464,1362748996.2
1170340200,3.07964,3.081068,3.026426,3.026426,664398104,1334033870
1170426600,3.004283,3.04464,2.989283,3.026783,621691116,1322457695.2
1170685800,3.010711,3.043926,2.997854,2.997854,580079492,1309702047.4
1170772200,3.016068,3.016783,2.959283,3.005354,864637280,1313071951.6
1170858600,3.017676,3.084997,2.983926,3.076782,1068177324,1198914650.4
1170945000,3.051068,3.089639,3.050354,3.077854,679218852,1085129771.8
1171031400,3.06714,3.078568,2.971783,2.973926,860768348,1056118875.6
1171290600,3.015354,3.042139,2.986783,3.031426,724236180,1026685895.8
1171377000,3.041426,3.046068,3.010711,3.024997,581130052,993515024.2
1171463400,3.022497,3.058568,3.020354,3.046426,508044604,935189756.4
1171549800,3.051426,3.057854,3.027854,3.043212,363720360,835081166.6
1171636200,3.04464,3.050354,3.023568,3.02964,400005236,786850579.4
1171981800,3.023211,3.07714,3.005711,3.067854,617444968,745015020.8
1172068200,3.070711,3.196069,3.069997,3.185711,1155500672,742375290
1172154600,3.242854,3.243211,3.161783,3.196782,838636228,737887759
1172241000,3.184283,3.226425,3.173211,3.181069,518246916,718478050
1172500200,3.208568,3.214283,3.128925,3.166068,616970536,699980335.6
1172586600,3.08214,3.109997,2.978926,2.997497,1146722552,712215496.6
1172673000,2.964283,3.05714,2.964283,3.021783,919869012,729290764.8
1172759400,3.001068,3.153925,2.991068,3.109283,1415617796,757255781.4
1172845800,3.098925,3.126425,3.043212,3.050354,860069916,767039372
1173105000,3.067497,3.166068,3.062854,3.08285,839701572,777939894.8
1173191400,3.135711,3.153925,3.121425,3.14964,723294032,785100621.8
1173277800,3.14464,3.177497,3.123211,3.132854,626323888,773184952.2
1173364200,3.163925,3.168568,3.123569,3.142854,511025148,745327343.4
1173450600,3.171425,3.173211,3.121425,3.141783,451838408,733958321.2
1173706200,3.145354,3.213926,3.142497,3.20964,729423576,727391082.6
1173792600,3.193211,3.235711,3.157139,3.157139,867668000,734562673.6
1173879000,3.164283,3.214283,3.139997,3.214283,796480284,745330185.2
1173965400,3.212854,3.22714,3.18964,3.198926,559090220,747882466
1174051800,3.197782,3.213926,3.189997,3.19964,571704568,758281676.4
1174311000,3.222854,3.26964,3.19964,3.25464,712995400,773931184.6
1174397400,3.262497,3.279997,3.25214,3.26714,489110312,767514451.8
1174483800,3.285354,3.35714,3.273211,3.352497,687239852,744101410.8
1174570200,3.347497,3.369997,3.321425,3.355711,565202292,730429714
1174656600,3.333926,3.35964,3.33214,3.339997,451189592,727076847.8
