time,open,high,low,close,Volume
1636573500,147.97,148.36,147.97,148.15,117380
1636574400,148.16,148.23,147.99,148.05,111410
1636575300,148.05,148.25,148.01,148.06,145359
1636576200,148.05,148.29,147.95,147.96,200791
1636577100,147.96,148.25,147.85,147.92,505756
1636578000,147.94,147.94,147.91,147.91,290
1636578900,148.15,148.15,148.15,148.15,100
1636579800,148.02,148.02,148.02,148.02,100
1636632900,148.67,148.67,148.67,148.67,100
1636634700,148.69,148.69,148.64,148.64,200
1636635600,148.58,148.58,148.58,148.58,200
1636637400,148.62,148.76,148.62,148.76,503
1636639200,148.72,148.72,148.72,148.72,100
1636640100,148.69,149.03,148.54,149.03,8207
1636641000,148.96,149.04,148.18,148.22,197736
1636641900,148.22,148.81,148.16,148.67,143839
1636642800,148.68,148.68,148.18,148.31,94498
1636643700,148.31,148.47,148.21,148.43,87242
1636644600,148.43,148.66,148.27,148.61,128174
1636645500,148.61,148.64,148.36,148.38,78217
1636646400,148.38,148.45,148.16,148.21,69303
1636647300,148.22,148.37,148.17,148.36,53422
1636648200,148.32,148.56,148.28,148.48,67560
1636649100,148.5,148.5,148.24,148.27,45218
1636650000,148.27,148.31,147.98,148,67784
1636650900,148,148.09,147.87,147.98,57115
1636651800,148.005,148.11,147.99,148.09,39329
1636652700,148.09,148.09,147.91,147.97,43063
1636653600,147.97,147.97,147.7,147.8,69005
1636654500,147.8,147.89,147.7,147.8,52724
1636655400,147.78,147.84,147.71,147.81,59171
1636656300,147.83,147.85,147.78,147.84,45656
1636657200,147.84,148.02,147.81,148.02,56871
1636658100,148.03,148.08,147.93,147.93,57853
1636659000,147.94,148.29,147.94,148.2,57273
1636659900,148.2,148.29,148.07,148.07,60423
1636660800,148.06,148.12,147.82,147.91,83420
1636661700,147.91,148.04,147.91,147.99,84634
1636662600,148,148.06,147.915,147.96,89194
1636663500,147.96,148.14,147.77,147.86,280934
1636669800,147.8,147.8,147.8,147.8,300
1636718400,148.16,148.16,148.16,148.16,100
1636722900,148.27,148.35,148.27,148.32,1051
1636725600,148.47,148.58,148.47,148.58,400
1636726500,148.56,148.61,148.54,148.54,600
1636727400,148.43,148.48,147.48,147.65,165440
1636728300,147.65,148.14,147.53,147.99,137822
1636729200,147.99,148.2,147.78,147.86,109332
1636730100,147.88,148.34,147.79,148.25,145523
1636731000,148.26,148.55,148.13,148.53,102991
1636731900,148.52,148.77,148.47,148.57,89773
1636732800,148.57,149.1,148.53,149.07,176506
1636733700,149.08,150.05,149.08,149.94,345023
1636734600,149.945,150.08,149.78,149.85,148653
1636735500,149.83,150.005,149.66,149.8,153699
1636736400,149.81,149.87,149.62,149.72,95558
1636737300,149.73,149.84,149.63,149.79,92226
1636738200,149.79,149.82,149.7,149.76,56917
1636739100,149.72,149.82,149.56,149.57,75500
1636740000,149.57,149.61,149.3,149.58,93927
1636740900,149.58,149.76,149.51,149.69,58415
1636741800,149.7,149.95,149.68,149.87,54550
1636742700,149.89,149.925,149.74,149.92,59124
1636743600,149.93,149.97,149.79,149.97,64250
1636744500,149.97,150.02,149.76,149.76,60085
1636745400,149.785,149.91,149.75,149.88,46897
1636746300,149.88,150.02,149.86,149.9,51835
1636747200,149.9,150.05,149.76,150.04,106652
1636748100,150.03,150.19,149.97,150.18,120374
1636749000,150.17,150.4,150,150,202512
1636749900,150.01,150.07,149.85,149.95,385531
1636750800,150,150,149.99,149.99,300
1636751700,150.02,150.06,150.02,150.06,850
1636752600,150.02,150.02,149.99,149.99,300
1636754400,150,150,150,150,2698
1636980300,150.39,150.39,150.39,150.39,100
1636983000,150.94,150.94,150.94,150.94,290
1636983900,150.8,150.8,150.8,150.8,200
1636984800,150.7,150.7,150.7,150.7,300
1636985700,150.34,150.42,150.17,150.27,1968
1636986600,150.37,151.87,150.3,151.45,358724
1636987500,151.42,151.64,150.9,150.97,201925
1636988400,150.96,151.01,150.48,150.49,127344
1636989300,150.5,150.53,150.25,150.45,151379
1636990200,150.46,150.91,150.32,150.4,132680
1636991100,150.43,150.5,150.3,150.32,103016
1636992000,150.32,150.53,150.22,150.32,60873
1636992900,150.32,150.4,149.96,150.06,82147
1636993800,150.05,150.29,149.47,149.54,167706
1636994700,149.51,149.81,149.45,149.78,88315
1636995600,149.77,149.99,149.67,149.95,56689
1636996500,149.92,149.95,149.54,149.68,87390
1636997400,149.66,150.23,149.66,150.19,71322
1636998300,150.19,150.19,149.98,150.04,39919
1636999200,150.04,150.13,149.94,150.04,31398
1637000100,150.02,150.13,149.91,150.03,62194
1637001000,150.03,150.12,149.9,149.96,41497
1637001900,149.97,150.12,149.9,149.91,31874
1637002800,149.92,149.95,149.77,149.92,40911
1637003700,149.93,149.93,149.8,149.87,32568
1637004600,149.87,150.13,149.84,150.1,33725
1637005500,150.08,150.19,149.96,149.99,43899
1637006400,149.99,150,149.9,149.97,42406
1637007300,149.97,150.25,149.97,150.23,101737
1637008200,150.24,150.26,149.86,149.9,95735
1637009100,149.9,150,149.76,149.99,404501
1637010900,149.99,149.99,149.99,149.99,100
1637011800,149.99,149.99,149.99,149.99,100
1637023500,150.01,150.01,150.01,150.01,616
1637066700,150.16,150.16,150.16,150.16,100
1637069400,150,150,149.98,149.98,1160
1637071200,149.85,149.85,149.85,149.85,130
1637072100,149.97,149.97,149.97,149.97,100
1637073000,149.93,150.38,149.61,150.16,210428
1637073900,150.18,150.19,149.69,149.85,195253
1637074800,149.84,149.89,149.53,149.59,126501
1637075700,149.58,149.74,149.34,149.37,83979
1637076600,149.35,149.665,149.35,149.61,53232
1637077500,149.625,149.815,149.47,149.71,62414
1637078400,149.67,150.48,149.67,150.44,100469
1637079300,150.46,151.28,150.46,151.1,144720
1637080200,151.1,151.365,151,151.01,122350
1637081100,151.02,151.21,150.89,151.16,73453
1637082000,151.19,151.35,151.11,151.34,58255
1637082900,151.36,151.48,151.09,151.12,68085
1637083800,151.13,151.35,151.07,151.15,45354
1637084700,151.14,151.24,151.1,151.17,31619
1637085600,151.14,151.26,151.04,151.07,45087
1637086500,151.08,151.17,151.01,151.07,33910
1637087400,151.08,151.24,151.06,151.23,60367
1637088300,151.25,151.46,151.22,151.39,69686
1637089200,151.39,151.47,151.31,151.39,56223
1637090100,151.38,151.38,151.07,151.15,56189
1637091000,151.16,151.19,150.94,150.97,46268
1637091900,150.97,151.13,150.97,151.02,44551
1637092800,151.03,151.09,150.81,151,61440
1637093700,151.02,151.085,150.885,151.05,54135
1637094600,151.04,151.24,151.03,151.12,131835
1637095500,151.12,151.25,150.92,150.99,360969
1637096400,150.9,151.2,150.85,151.2,2847
1637097300,151.07,151.07,151.05,151.05,216
1637101800,150.91,150.91,150.91,150.91,120
1637150400,151.05,151.05,151.05,151.05,200
1637151300,151.05,151.05,151.05,151.05,400
1637155800,151.06,151.07,151.06,151.07,400
1637157600,151.09,151.15,151.09,151.09,907
1637158500,150.98,150.98,150.72,150.77,2947
1637159400,151.05,152.65,151.03,152.61,330488
1637160300,152.64,152.77,151.65,152.07,279948
1637161200,152.08,152.7,152.06,152.51,194741
1637162100,152.51,152.77,152.21,152.51,234416
1637163000,152.53,152.53,152.21,152.4,77197
1637163900,152.41,152.63,152.35,152.63,93956
1637164800,152.61,153.93,152.61,153.8,349017
1637165700,153.81,154.48,153.81,154.37,263109
1637166600,154.36,154.74,154.2,154.625,181894
1637167500,154.61,154.995,154.45,154.98,185968
1637168400,154.99,155,154.31,154.43,192329
1637169300,154.43,154.43,153.78,154.11,213440
1637170200,154.11,154.715,154.1,154.5,121674
1637171100,154.5,154.5,153.8,154,95592
1637172000,154.04,154.22,153.74,153.9,72676
1637172900,153.88,154.41,153.86,154.37,64937
1637173800,154.37,154.52,154.27,154.45,69442
1637174700,154.46,154.54,154.26,154.31,65884
1637175600,154.3,154.54,154.27,154.46,90654
1637176500,154.45,154.47,154.04,154.19,63177
1637177400,154.18,154.18,153.86,153.9,85002
1637178300,153.88,154.11,153.79,154.11,71505
1637179200,154.09,154.1,153.65,153.97,99777
1637180100,153.99,154.175,153.78,153.89,118826
1637181000,153.9,154.065,153.875,153.96,94824
1637181900,153.955,154.27,153.345,153.59,732778
1637182800,153.3,153.3,153.22,153.22,1689
1637183700,153.32,153.36,153.26,153.3,600
1637184600,153.36,153.4,153.36,153.4,200
1637185500,153.48,153.52,153.48,153.52,475
1637236800,153.91,153.91,153.91,153.91,424
1637242200,153.85,153.85,153.85,153.85,100
1637244900,153.8,153.8,153.8,153.8,126
1637245800,153.71,154,153.07,153.86,314208
1637246700,153.86,154.61,153.79,154.4,230373
1637247600,154.41,154.58,153.74,154.17,176071
1637248500,154.16,154.46,153.56,154.17,195563
1637249400,154.17,154.48,153.99,154.07,127563
1637250300,154.07,154.36,154.02,154.16,126307
1637251200,154.13,154.35,153.89,154.29,100170
1637252100,154.26,154.435,154.07,154.07,50814
1637253000,154.07,154.78,154.06,154.64,210548
1637253900,154.67,154.87,154.59,154.635,99443
1637254800,154.65,154.96,154.54,154.94,103617
1637255700,154.94,156.53,154.72,156.49,631349
1637256600,156.51,157.87,155.99,157.37,984984
1637257500,157.37,157.74,156.66,157.24,440353
1637258400,157.21,157.57,156.7,157.53,240239
1637259300,157.52,157.75,157.16,157.43,194964
1637260200,157.42,157.62,157.28,157.43,112480
1637261100,157.42,157.77,157.34,157.5,160433
1637262000,157.51,158.39,157.4,158.32,305033
1637262900,158.31,158.31,157.85,157.95,155095
1637263800,157.94,157.98,157.38,157.51,168367
1637264700,157.49,157.83,157.47,157.64,104370
1637265600,157.655,157.98,157.61,157.81,113846
1637266500,157.81,157.95,157.61,157.91,147262
1637267400,157.9,158.5,157.85,158.26,353439
1637268300,158.25,158.67,157.7,157.9,1061000
1637269200,157.65,158.05,157.65,158.05,5772
1637270100,157.9,157.9,157.9,157.9,700
1637271000,157.96,157.96,157.94,157.94,310
1637273700,157.8,157.8,157.8,157.8,110
1637279100,157.61,157.61,157.6,157.6,200
1637280000,157.63,157.63,157.63,157.63,200
